Snapshot (UT),40-50 West,50-60 West,60-70 West,40-50 East,50-60 East,60-70 East
16:00,,,4,,,3
16:15,,,7,,,8
16:30,,5,"7,9,11",,6,"8,10,12"
16:45,,"7,9",15,,"8,10","13,16"
17:00,8,"9,10",18,,11,19
17:15,9,"10,11",,,12,"15,19,23"
17:30,"10,11","12,14","17,20,22",,"13,15",18
17:45,11,"12,13,15","18,22",,"14,16",19
18:00,"10,11","12,14","16,20",,13,"15,17"
18:15,8,"9,11,13","15,18",,"10,12","14,16,19"
18:30,"9,10","12,14","17,20",,"13,15","18,21"
18:45,"13,14","18,20","22,24","15,17","19,21","23,25"
19:00,"13,14,16","18,20","22,24",15,"19,21","23,25"
19:15,"13,14,16",20,"22,24",15,"19,21","23,25"
19:30,"18,19","21,23","25,29",20,"22,24,26","28,30"
19:45,"13,14",18,,15,"17,19,21","23,26"
20:00,"15,17","19,21","23,25,27","16,18","20,22,24","26,28,30"
20:15,,"18,20","22,24,26",15,"17,19,21","23,25,27"
20:30,,"20,22","24,26",17,"19,21,23","25,27,29"
20:45,,"18,20","24,26,28",17,"19,21,23","25,27,29"
21:00,,"21,23","25,27,29",17,"20,22,24","26,28"
21:15,,"18,20,22","24,26","13,17","19,21","23,25,27"
21:30,,15,"19,21,23",14,"16,18","20,22"
21:45,12,"14,16","18,20,22","10,13","15,17","19,21"
22:00,,13,"15,17,19,21",10,"12,14,16","18,20,22"
22:15,,13,"17,19,21","10,12","14,16","18,20,22"
22:30,,12,"16,18",11,"13,15","17,19,20"
22:45,,13,15,"10,11","12,14","16,17"
23:00,,11,12,,,13
23:30,,13,"14,15,16",,10,"11,12"
23:45,,"15,16","17,18","11,12","13,14",
0:00,,"19,21","23,25","15,16,17","18,20","22,24"
0:15,,"18,20","22,24","15,16","17,19","21,23"
0:30,,20,"24,26","15,16","18,19,21","23,25"
0:45,,,"19,20","14,15","16,18",21
1:00,,15,"17,18","12,13","14,16","19,21"
1:15,,15,"17,18","11,12,13","14,16",20
1:30,,18,"20,22,24","15,16","17,19","21,23,25"
1:45,,18,"20,22,24","15,16","17,19","21,23"
2:00,,15,"17,19,21","11,12,13","14,16","18,20"
2:15,,16,"18,20,22","12,13,14","15,17","19,21,23"
2:30,,14,"15,16,18",12,13,"17,19"
2:45,,,"17,19","14,15",16,"18,20"
3:00,,,"20,22","17,18",19,"21,23"
