<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 20241009 to 20241012</B><hr><pre>Selected parameters:
 1 BX, nT (GSE, GSM)
 2 BY, nT (GSM)
 3 BZ, nT (GSM)
 4 Vx Velocity,km/s
 5 Vy Velocity, km/s
 6 Vz Velocity, km/s
 7 Proton Density, n/cc
 8 Proton Temperature, K
 9 AE-index, nT
10 AL-index, nT
11 AU-index, nT
12 SYM/H, nT
13 Electric field, mV/m 

YYYY DOY HR MN      1       2       3       4       5       6      7        8     9    10    11    12     13 
2024 283  0  0    1.88    9.18   -1.97  -442.3   -31.6   -17.0   7.50  203737.   547  -423   124   -68   0.87
2024 283  0  1    3.05    8.55   -0.19  -448.0   -38.6   -39.8   7.53  183425.   536  -401   135   -69   0.09
2024 283  0  2    3.24    7.70   -0.67  -449.8   -33.3   -56.3   8.06  204592.   553  -418   135   -70   0.30
2024 283  0  3    3.35    5.82   -6.05  -454.6   -37.8   -28.7   7.52  198783.   585  -441   144   -71   2.77
2024 283  0  4    2.16    6.75   -4.40  -457.4   -39.0   -19.4   7.36  195879.   573  -446   127   -71   2.02
2024 283  0  5    1.83    7.86   -1.40  -451.2   -22.9   -11.4   9.08  296958.   597  -469   128   -71   0.63
2024 283  0  6    2.24    8.43   -2.21  -451.2   -22.9   -11.4   9.08  296958.   650  -508   142   -72   1.00
2024 283  0  7    3.05    6.49   -5.87  -452.2   -36.6   -14.9   7.42  192585.   709  -531   178   -72   2.66
2024 283  0  8    3.40    5.66   -6.23  -452.2   -36.2   -11.4   7.34  177747.   762  -544   218   -72   2.83
2024 283  0  9    2.54    6.96   -5.22  -452.0   -32.9    14.1   6.68   69855.   799  -538   261   -72   2.37
2024 283  0 10    2.27    7.17   -4.33  -453.3   -40.0   -15.0   7.15  146668.   774  -512   262   -71   1.97
2024 283  0 11    2.82    5.78   -6.62  -453.4   -40.4   -16.5   7.17  150646.   730  -502   228   -71   3.01
2024 283  0 12    1.78    6.06   -6.78  -442.1   -34.5   -11.7   6.78  172843.   683  -473   210   -71   3.01
2024 283  0 13    1.52    6.33   -4.85  -437.2   -33.1   -19.7   6.93  175453.   693  -459   234   -72   2.13
2024 283  0 14   -1.45    7.58   -3.07  -423.8   -29.3   -41.4   7.33  182578.   682  -451   231   -72   1.31
2024 283  0 15   -1.00    7.05   -4.97 99999.9 99999.9 99999.9 999.99 9999999.   683  -456   227   -72 999.99
2024 283  0 16   -1.40    7.60   -3.43 99999.9 99999.9 99999.9 999.99 9999999.   625  -446   179   -72 999.99
2024 283  0 17   -4.35    7.53   -1.78 99999.9 99999.9 99999.9 999.99 9999999.   551  -407   144   -72 999.99
2024 283  0 18   -4.36    7.54   -2.00 99999.9 99999.9 99999.9 999.99 9999999.   515  -359   156   -72 999.99
2024 283  0 19   -2.06    7.71   -3.61  -416.0   -33.8   -17.2   7.40  195119.   549  -400   149   -73   1.51
2024 283  0 20   -0.23    7.77   -3.75  -424.7   -35.3   -10.7   7.32  190638.   640  -491   149   -73   1.60
2024 283  0 21   -1.05    8.60    0.12  -437.6   -37.6    -0.9   7.19  183945.   696  -558   138   -73  -0.05
2024 283  0 22   -1.04    8.84   -0.79  -431.3   -30.9   -26.6   7.43  197255.   724  -592   132   -73   0.34
2024 283  0 23   -2.13    6.97   -4.24  -431.3   -30.9   -26.6   7.43  197255.   664  -545   119   -73   1.84
2024 283  0 24   -1.11    7.49   -3.59  -431.3   -30.9   -26.6   7.43  197255.   589  -455   134   -73   1.56
2024 283  0 25   -1.77    8.21   -2.90  -424.4   -43.7   -27.5   7.75  186087.   523  -389   134   -73   1.24
2024 283  0 26   -3.31    7.46   -3.33  -424.4   -43.7   -27.5   7.75  186087.   492  -347   145   -73   1.42
2024 283  0 27    0.02    8.34   -0.66  -424.4   -43.7   -27.5   7.75  186087.   504  -333   171   -73   0.28
2024 283  0 28    2.06    7.77    1.38  -438.4   -35.6   -52.5   7.29  150223.   499  -313   186   -74  -0.61
2024 283  0 29   -1.55    5.24   -6.99  -445.2   -28.0   -61.4   6.67  130101.   505  -303   202   -74   3.15
2024 283  0 30   -2.03    3.65   -7.97  -422.5   -19.6     3.3   7.43  224825.   512  -304   208   -73   3.37
2024 283  0 31   -1.28    5.14   -7.29  -423.1   -21.0     4.8   7.38  224273.   533  -338   195   -73   3.09
2024 283  0 32   -1.87    4.48   -7.57  -426.0   -28.5    12.7   7.04  221372.   569  -374   195   -73   3.23
2024 283  0 33    3.07    7.68    1.30  -426.0   -28.5    12.7   7.04  221372.   590  -394   196   -73  -0.56
2024 283  0 34    0.93    6.99   -5.25 99999.9 99999.9 99999.9 999.99 9999999.   591  -401   190   -73 999.99
2024 283  0 35   -0.26    4.53   -7.71 99999.9 99999.9 99999.9 999.99 9999999.   614  -422   192   -73 999.99
